"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-07-30,"BC","Fraser","Unknown",0,0.29
2020-07-30,"BC","Interior","All",3,6.29
2020-07-30,"BC","Interior","East Kootenay",0,0
2020-07-30,"BC","Interior","Kootenay Boundary",0,0
2020-07-30,"BC","Interior","Okanagan",3,5.57
2020-07-30,"BC","Interior","Thompson Cariboo Shuswap",0,0.71
2020-07-30,"BC","Northern","All",2,1.29
2020-07-30,"BC","Northern","Northeast",0,0
2020-07-30,"BC","Northern","Northern Interior",0,0
2020-07-30,"BC","Northern","Northwest",2,1.29
2020-07-30,"BC","Vancouver Coastal","All",11,3.71
2020-07-30,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",1,0.43
2020-07-30,"BC","Vancouver Coastal","Richmond",0,0.29
2020-07-30,"BC","Vancouver Coastal","Unknown",0,0.29
2020-07-30,"BC","Vancouver Coastal","Vancouver",10,2.71
2020-07-30,"BC","Vancouver Island","All",1,0.29
2020-07-30,"BC","Vancouver Island","Central Vancouver Island",1,0.29
2020-07-30,"BC","Vancouver Island","North Vancouver Island",0,0
2020-07-30,"BC","Vancouver Island","South Vancouver Island",0,0
2020-07-30,"BC","Vancouver Island","Unknown",0,0
2020-07-30,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-07-31,"BC","All","All",50,32.14
2020-07-31,"BC","Fraser","All",27,20.43
2020-07-31,"BC","Fraser","Fraser East",13,13.71
2020-07-31,"BC","Fraser","Fraser North",3,1.86
2020-07-31,"BC","Fraser","Fraser South",11,4.57
2020-07-31,"BC","Fraser","Unknown",0,0.29
2020-07-31,"BC","Interior","All",4,4
2020-07-31,"BC","Interior","East Kootenay",0,0
2020-07-31,"BC","Interior","Kootenay Boundary",0,0
2020-07-31,"BC","Interior","Okanagan",2,3.29
2020-07-31,"BC","Interior","Thompson Cariboo Shuswap",2,0.71
2020-07-31,"BC","Northern","All",0,1.29
2020-07-31,"BC","Northern","Northeast",0,0
2020-07-31,"BC","Northern","Northern Interior",0,0
2020-07-31,"BC","Northern","Northwest",0,1.29
2020-07-31,"BC","Vancouver Coastal","All",19,6.14
2020-07-31,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",1,0.57
2020-07-31,"BC","Vancouver Coastal","Richmond",1,0.43
2020-07-31,"BC","Vancouver Coastal","Unknown",5,0.86
2020-07-31,"BC","Vancouver Coastal","Vancouver",12,4.29
2020-07-31,"BC","Vancouver Island","All",0,0.29
2020-07-31,"BC","Vancouver Island","Central Vancouver Island",0,0.29
2020-07-31,"BC","Vancouver Island","North Vancouver Island",0,0
2020-07-31,"BC","Vancouver Island","South Vancouver Island",0,0
2020-07-31,"BC","Vancouver Island","Unknown",0,0
2020-07-31,"Out of Canada","Out of Canada","Out of Canada",2,0.57
2020-08-01,"BC","All","All",29,33.43
2020-08-01,"BC","Fraser","All",16,21
2020-08-01,"BC","Fraser","Fraser East",3,13
2020-08-01,"BC","Fraser","Fraser North",3,2.14
2020-08-01,"BC","Fraser","Fraser South",9,5.57
2020-08-01,"BC","Fraser","Unknown",1,0.29
2020-08-01,"BC","Interior","All",1,3.43
2020-08-01,"BC","Interior","East Kootenay",0,0
2020-08-01,"BC","Interior","Kootenay Boundary",0,0
2020-08-01,"BC","Interior","Okanagan",1,2.71
2020-08-01,"BC","Interior","Thompson Cariboo Shuswap",0,0.71
2020-08-01,"BC","Northern","All",3,1.71
2020-08-01,"BC","Northern","Northeast",0,0
2020-08-01,"BC","Northern","Northern Interior",0,0
2020-08-01,"BC","Northern","Northwest",3,1.71
2020-08-01,"BC","Vancouver Coastal","All",9,7
2020-08-01,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",2,0.86
2020-08-01,"BC","Vancouver Coastal","Richmond",0,0.43
2020-08-01,"BC","Vancouver Coastal","Unknown",0,0.86
2020-08-01,"BC","Vancouver Coastal","Vancouver",7,4.86
2020-08-01,"BC","Vancouver Island","All",0,0.29
2020-08-01,"BC","Vancouver Island","Central Vancouver Island",0,0.29
2020-08-01,"BC","Vancouver Island","North Vancouver Island",0,0
2020-08-01,"BC","Vancouver Island","South Vancouver Island",0,0
2020-08-01,"BC","Vancouver Island","Unknown",0,0
2020-08-01,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-08-02,"BC","All","All",48,37.29
2020-08-02,"BC","Fraser","All",36,23.86
2020-08-02,"BC","Fraser","Fraser East",9,13.14
2020-08-02,"BC","Fraser","Fraser North",9,3
2020-08-02,"BC","Fraser","Fraser South",18,7.43
2020-08-02,"BC","Fraser","Unknown",0,0.29
2020-08-02,"BC","Interior","All",4,3.57
2020-08-02,"BC","Interior","East Kootenay",0,0
2020-08-02,"BC","Interior","Kootenay Boundary",0,0
2020-08-02,"BC","Interior","Okanagan",4,2.86
2020-08-02,"BC","Interior","Thompson Cariboo Shuswap",0,0.71
2020-08-02,"BC","Northern","All",0,1.71
2020-08-02,"BC","Northern","Northeast",0,0
2020-08-02,"BC","Northern","Northern Interior",0,0
2020-08-02,"BC","Northern","Northwest",0,1.71
2020-08-02,"BC","Vancouver Coastal","All",6,7.71
2020-08-02,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",2,1.14
2020-08-02,"BC","Vancouver Coastal","Richmond",0,0.43
2020-08-02,"BC","Vancouver Coastal","Unknown",0,0.86
2020-08-02,"BC","Vancouver Coastal","Vancouver",4,5.29
2020-08-02,"BC","Vancouver Island","All",2,0.43
2020-08-02,"BC","Vancouver Island","Central Vancouver Island",2,0.43
2020-08-02,"BC","Vancouver Island","North Vancouver Island",0,0
2020-08-02,"BC","Vancouver Island","South Vancouver Island",0,0
2020-08-02,"BC","Vancouver Island","Unknown",0,0
2020-08-02,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-08-03,"BC","All","All",27,37.71
2020-08-03,"BC","Fraser","All",21,24.71
2020-08-03,"BC","Fraser","Fraser East",4,12
2020-08-03,"BC","Fraser","Fraser North",3,3.14
2020-08-03,"BC","Fraser","Fraser South",14,9.29
2020-08-03,"BC","Fraser","Unknown",0,0.29
2020-08-03,"BC","Interior","All",3,3.14
2020-08-03,"BC","Interior","East Kootenay",0,0
2020-08-03,"BC","Interior","Kootenay Boundary",0,0
2020-08-03,"BC","Interior","Okanagan",3,2.71
2020-08-03,"BC","Interior","Thompson Cariboo Shuswap",0,0.43
2020-08-03,"BC","Northern","All",0,1.57
2020-08-03,"BC","Northern","Northeast",0,0
2020-08-03,"BC","Northern","Northern Interior",0,0
2020-08-03,"BC","Northern","Northwest",0,1.57
2020-08-03,"BC","Vancouver Coastal","All",3,7.86
2020-08-03,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",0,1
2020-08-03,"BC","Vancouver Coastal","Richmond",0,0.43
2020-08-03,"BC","Vancouver Coastal","Unknown",0,0.86
2020-08-03,"BC","Vancouver Coastal","Vancouver",3,5.57
2020-08-03,"BC","Vancouver Island","All",0,0.43
2020-08-03,"BC","Vancouver Island","Central Vancouver Island",0,0.43
2020-08-03,"BC","Vancouver Island","North Vancouver Island",0,0
2020-08-03,"BC","Vancouver Island","South Vancouver Island",0,0
2020-08-03,"BC","Vancouver Island","Unknown",0,0
2020-08-03,"Out of Canada","Out of Canada","Out of Canada",1,0.57
2020-08-04,"BC","All","All",42,37.14
2020-08-04,"BC","Fraser","All",23,23.57
2020-08-04,"BC","Fraser","Fraser East",7,8.86
2020-08-04,"BC","Fraser","Fraser North",2,3.43
2020-08-04,"BC","Fraser","Fraser South",14,11.14
2020-08-04,"BC","Fraser","Unknown",0,0.14
2020-08-04,"BC","Interior","All",6,3.29
2020-08-04,"BC","Interior","East Kootenay",1,0.14
2020-08-04,"BC","Interior","Kootenay Boundary",0,0
2020-08-04,"BC","Interior","Okanagan",5,2.86
2020-08-04,"BC","Interior","Thompson Cariboo Shuswap",0,0.29
2020-08-04,"BC","Northern","All",0,0.71
2020-08-04,"BC","Northern","Northeast",0,0
2020-08-04,"BC","Northern","Northern Interior",0,0
2020-08-04,"BC","Northern","Northwest",0,0.71
2020-08-04,"BC","Vancouver Coastal","All",13,9.14
2020-08-04,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",5,1.57
2020-08-04,"BC","Vancouver Coastal","Richmond",1,0.29
2020-08-04,"BC","Vancouver Coastal","Unknown",1,0.86
2020-08-04,"BC","Vancouver Coastal","Vancouver",6,6.43
2020-08-04,"BC","Vancouver Island","All",0,0.43
2020-08-04,"BC","Vancouver Island","Central Vancouver Island",0,0.43
2020-08-04,"BC","Vancouver Island","North Vancouver Island",0,0
2020-08-04,"BC","Vancouver Island","South Vancouver Island",0,0
2020-08-04,"BC","Vancouver Island","Unknown",0,0
2020-08-04,"Out of Canada","Out of Canada","Out of Canada",1,0.71
2020-08-05,"BC","All","All",45,40
2020-08-05,"BC","Fraser","All",31,25.14
2020-08-05,"BC","Fraser","Fraser East",4,7
2020-08-05,"BC","Fraser","Fraser North",9,4.57
2020-08-05,"BC","Fraser","Fraser South",18,13.43
2020-08-05,"BC","Fraser","Unknown",0,0.14
2020-08-05,"BC","Interior","All",1,3.14
2020-08-05,"BC","Interior","East Kootenay",0,0.14
2020-08-05,"BC","Interior","Kootenay Boundary",0,0
2020-08-05,"BC","Interior","Okanagan",1,2.71
2020-08-05,"BC","Interior","Thompson Cariboo Shuswap",0,0.29
2020-08-05,"BC","Northern","All",0,0.71
2020-08-05,"BC","Northern","Northeast",0,0
2020-08-05,"BC","Northern","Northern Interior",0,0
2020-08-05,"BC","Northern","Northwest",0,0.71
2020-08-05,"BC","Vancouver Coastal","All",13,10.57
2020-08-05,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",3,2
2020-08-05,"BC","Vancouver Coastal","Richmond",2,0.57
2020-08-05,"BC","Vancouver Coastal","Unknown",0,0.86
2020-08-05,"BC","Vancouver Coastal","Vancouver",8,7.14
2020-08-05,"BC","Vancouver Island","All",0,0.43
2020-08-05,"BC","Vancouver Island","Central Vancouver Island",0,0.43
2020-08-05,"BC","Vancouver Island","North Vancouver Island",0,0
2020-08-05,"BC","Vancouver Island","South Vancouver Island",0,0
2020-08-05,"BC","Vancouver Island","Unknown",0,0
2020-08-05,"Out of Canada","Out of Canada","Out of Canada",1,0.71
2020-08-06,"BC","All","All",45,40.86
2020-08-06,"BC","Fraser","All",23,25.29
2020-08-06,"BC","Fraser","Fraser East",2,6
2020-08-06,"BC","Fraser","Fraser North",7,5.14
2020-08-06,"BC","Fraser","Fraser South",14,14
2020-08-06,"BC","Fraser","Unknown",0,0.14
2020-08-06,"BC","Interior","All",1,2.86
2020-08-06,"BC","Interior","East Kootenay",0,0.14
2020-08-06,"BC","Interior","Kootenay Boundary",0,0
2020-08-06,"BC","Interior","Okanagan",1,2.43
2020-08-06,"BC","Interior","Thompson Cariboo Shuswap",0,0.29
2020-08-06,"BC","Northern","All",2,0.71
2020-08-06,"BC","Northern","Northeast",0,0
2020-08-06,"BC","Northern","Northern Interior",0,0
2020-08-06,"BC","Northern","Northwest",2,0.71
2020-08-06,"BC","Vancouver Coastal","All",18,11.57
2020-08-06,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",2,2.14
2020-08-06,"BC","Vancouver Coastal","Richmond",4,1.14
2020-08-06,"BC","Vancouver Coastal","Unknown",0,0.86
2020-08-06,"BC","Vancouver Coastal","Vancouver",12,7.43
2020-08-06,"BC","Vancouver Island","All",1,0.43
2020-08-06,"BC","Vancouver Island","Central Vancouver Island",1,0.43
2020-08-06,"BC","Vancouver Island","North Vancouver Island",0,0
2020-08-06,"BC","Vancouver Island","South Vancouver Island",0,0
2020-08-06,"BC","Vancouver Island","Unknown",0,0
2020-08-06,"Out of Canada","Out of Canada","Out of Canada",3,1.14
2020-08-07,"BC","All","All",52,41.14
2020-08-07,"BC","Fraser","All",31,25.86
2020-08-07,"BC","Fraser","Fraser East",1,4.29
2020-08-07,"BC","Fraser","Fraser North",11,6.29
2020-08-07,"BC","Fraser","Fraser South",18,15
2020-08-07,"BC","Fraser","Unknown",1,0.29
2020-08-07,"BC","Interior","All",1,2.43
2020-08-07,"BC","Interior","East Kootenay",0,0.14
2020-08-07,"BC","Interior","Kootenay Boundary",0,0
