"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-04-01,"BC","Fraser","Fraser North",8,7.29
2020-04-01,"BC","Fraser","Fraser South",7,10.57
2020-04-01,"BC","Fraser","Unknown",0,0.14
2020-04-01,"BC","Interior","All",6,8.29
2020-04-01,"BC","Interior","East Kootenay",0,0.57
2020-04-01,"BC","Interior","Kootenay Boundary",0,0.29
2020-04-01,"BC","Interior","Okanagan",4,4.57
2020-04-01,"BC","Interior","Thompson Cariboo Shuswap",2,2.86
2020-04-01,"BC","Northern","All",1,1.14
2020-04-01,"BC","Northern","Northeast",0,0.43
2020-04-01,"BC","Northern","Northern Interior",0,0.29
2020-04-01,"BC","Northern","Northwest",1,0.43
2020-04-01,"BC","Vancouver Coastal","All",23,21.14
2020-04-01,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",7,5.71
2020-04-01,"BC","Vancouver Coastal","Richmond",3,3.29
2020-04-01,"BC","Vancouver Coastal","Unknown",0,0
2020-04-01,"BC","Vancouver Coastal","Vancouver",13,12.14
2020-04-01,"BC","Vancouver Island","All",0,2.86
2020-04-01,"BC","Vancouver Island","Central Vancouver Island",0,1
2020-04-01,"BC","Vancouver Island","North Vancouver Island",0,0.71
2020-04-01,"BC","Vancouver Island","South Vancouver Island",0,1.14
2020-04-01,"BC","Vancouver Island","Unknown",0,0
2020-04-01,"Out of Canada","Out of Canada","Out of Canada",0,0.14
2020-04-02,"BC","All","All",55,52.57
2020-04-02,"BC","Fraser","All",28,19.86
2020-04-02,"BC","Fraser","Fraser East",2,2
2020-04-02,"BC","Fraser","Fraser North",18,8.71
2020-04-02,"BC","Fraser","Fraser South",8,9
2020-04-02,"BC","Fraser","Unknown",0,0.14
2020-04-02,"BC","Interior","All",2,7.43
2020-04-02,"BC","Interior","East Kootenay",0,0.57
2020-04-02,"BC","Interior","Kootenay Boundary",1,0.29
2020-04-02,"BC","Interior","Okanagan",1,4.57
2020-04-02,"BC","Interior","Thompson Cariboo Shuswap",0,2
2020-04-02,"BC","Northern","All",4,1.29
2020-04-02,"BC","Northern","Northeast",0,0.29
2020-04-02,"BC","Northern","Northern Interior",2,0.43
2020-04-02,"BC","Northern","Northwest",2,0.57
2020-04-02,"BC","Vancouver Coastal","All",19,21.57
2020-04-02,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",4,5.71
2020-04-02,"BC","Vancouver Coastal","Richmond",3,3.29
2020-04-02,"BC","Vancouver Coastal","Unknown",0,0
2020-04-02,"BC","Vancouver Coastal","Vancouver",12,12.57
2020-04-02,"BC","Vancouver Island","All",2,2.43
2020-04-02,"BC","Vancouver Island","Central Vancouver Island",1,1
2020-04-02,"BC","Vancouver Island","North Vancouver Island",0,0.43
2020-04-02,"BC","Vancouver Island","South Vancouver Island",1,1
2020-04-02,"BC","Vancouver Island","Unknown",0,0
2020-04-02,"Out of Canada","Out of Canada","Out of Canada",0,0.14
2020-04-03,"BC","All","All",31,48.14
2020-04-03,"BC","Fraser","All",10,18.14
2020-04-03,"BC","Fraser","Fraser East",1,1.86
2020-04-03,"BC","Fraser","Fraser North",4,7.71
2020-04-03,"BC","Fraser","Fraser South",5,8.43
2020-04-03,"BC","Fraser","Unknown",0,0.14
2020-04-03,"BC","Interior","All",5,6.71
2020-04-03,"BC","Interior","East Kootenay",0,0.57
2020-04-03,"BC","Interior","Kootenay Boundary",0,0.29
2020-04-03,"BC","Interior","Okanagan",2,4.29
2020-04-03,"BC","Interior","Thompson Cariboo Shuswap",3,1.57
2020-04-03,"BC","Northern","All",0,1.29
2020-04-03,"BC","Northern","Northeast",0,0.29
2020-04-03,"BC","Northern","Northern Interior",0,0.43
2020-04-03,"BC","Northern","Northwest",0,0.57
2020-04-03,"BC","Vancouver Coastal","All",13,19.57
2020-04-03,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",6,5.57
2020-04-03,"BC","Vancouver Coastal","Richmond",0,2.86
2020-04-03,"BC","Vancouver Coastal","Unknown",0,0
2020-04-03,"BC","Vancouver Coastal","Vancouver",7,11.14
2020-04-03,"BC","Vancouver Island","All",3,2.43
2020-04-03,"BC","Vancouver Island","Central Vancouver Island",1,1.14
2020-04-03,"BC","Vancouver Island","North Vancouver Island",1,0.29
2020-04-03,"BC","Vancouver Island","South Vancouver Island",1,1
2020-04-03,"BC","Vancouver Island","Unknown",0,0
2020-04-03,"Out of Canada","Out of Canada","Out of Canada",0,0.14
2020-04-04,"BC","All","All",21,45.86
2020-04-04,"BC","Fraser","All",3,18.14
2020-04-04,"BC","Fraser","Fraser East",1,2
2020-04-04,"BC","Fraser","Fraser North",1,7.71
2020-04-04,"BC","Fraser","Fraser South",1,8.29
2020-04-04,"BC","Fraser","Unknown",0,0.14
2020-04-04,"BC","Interior","All",0,5.86
2020-04-04,"BC","Interior","East Kootenay",0,0.29
2020-04-04,"BC","Interior","Kootenay Boundary",0,0.29
2020-04-04,"BC","Interior","Okanagan",0,4.14
2020-04-04,"BC","Interior","Thompson Cariboo Shuswap",0,1.14
2020-04-04,"BC","Northern","All",1,1.14
2020-04-04,"BC","Northern","Northeast",1,0.29
2020-04-04,"BC","Northern","Northern Interior",0,0.43
2020-04-04,"BC","Northern","Northwest",0,0.43
2020-04-04,"BC","Vancouver Coastal","All",14,18.71
2020-04-04,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",2,5.43
2020-04-04,"BC","Vancouver Coastal","Richmond",3,2.86
2020-04-04,"BC","Vancouver Coastal","Unknown",0,0
2020-04-04,"BC","Vancouver Coastal","Vancouver",9,10.43
2020-04-04,"BC","Vancouver Island","All",3,2
2020-04-04,"BC","Vancouver Island","Central Vancouver Island",2,0.86
2020-04-04,"BC","Vancouver Island","North Vancouver Island",1,0.29
2020-04-04,"BC","Vancouver Island","South Vancouver Island",0,0.86
2020-04-04,"BC","Vancouver Island","Unknown",0,0
2020-04-04,"Out of Canada","Out of Canada","Out of Canada",0,0.14
2020-04-05,"BC","All","All",13,43.43
2020-04-05,"BC","Fraser","All",2,18.14
2020-04-05,"BC","Fraser","Fraser East",0,2
2020-04-05,"BC","Fraser","Fraser North",2,7.86
2020-04-05,"BC","Fraser","Fraser South",0,8.29
2020-04-05,"BC","Fraser","Unknown",0,0
2020-04-05,"BC","Interior","All",2,5.43
2020-04-05,"BC","Interior","East Kootenay",0,0.14
2020-04-05,"BC","Interior","Kootenay Boundary",0,0.29
2020-04-05,"BC","Interior","Okanagan",2,3.86
2020-04-05,"BC","Interior","Thompson Cariboo Shuswap",0,1.14
2020-04-05,"BC","Northern","All",1,1.29
2020-04-05,"BC","Northern","Northeast",0,0.29
2020-04-05,"BC","Northern","Northern Interior",0,0.43
2020-04-05,"BC","Northern","Northwest",1,0.57
2020-04-05,"BC","Vancouver Coastal","All",8,16.71
2020-04-05,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",4,5.71
2020-04-05,"BC","Vancouver Coastal","Richmond",2,2.29
2020-04-05,"BC","Vancouver Coastal","Unknown",0,0
2020-04-05,"BC","Vancouver Coastal","Vancouver",2,8.71
2020-04-05,"BC","Vancouver Island","All",0,1.86
2020-04-05,"BC","Vancouver Island","Central Vancouver Island",0,0.71
2020-04-05,"BC","Vancouver Island","North Vancouver Island",0,0.29
2020-04-05,"BC","Vancouver Island","South Vancouver Island",0,0.86
2020-04-05,"BC","Vancouver Island","Unknown",0,0
2020-04-05,"Out of Canada","Out of Canada","Out of Canada",0,0.14
2020-04-06,"BC","All","All",51,39
2020-04-06,"BC","Fraser","All",26,14.57
2020-04-06,"BC","Fraser","Fraser East",5,1.86
2020-04-06,"BC","Fraser","Fraser North",13,6.71
2020-04-06,"BC","Fraser","Fraser South",8,6
2020-04-06,"BC","Fraser","Unknown",0,0
2020-04-06,"BC","Interior","All",3,5
2020-04-06,"BC","Interior","East Kootenay",0,0
2020-04-06,"BC","Interior","Kootenay Boundary",0,0.14
2020-04-06,"BC","Interior","Okanagan",3,4.14
2020-04-06,"BC","Interior","Thompson Cariboo Shuswap",0,0.71
2020-04-06,"BC","Northern","All",0,1.14
2020-04-06,"BC","Northern","Northeast",0,0.14
2020-04-06,"BC","Northern","Northern Interior",0,0.43
2020-04-06,"BC","Northern","Northwest",0,0.57
2020-04-06,"BC","Vancouver Coastal","All",22,16.43
2020-04-06,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",4,4.57
2020-04-06,"BC","Vancouver Coastal","Richmond",3,2.29
2020-04-06,"BC","Vancouver Coastal","Unknown",0,0
2020-04-06,"BC","Vancouver Coastal","Vancouver",15,9.57
2020-04-06,"BC","Vancouver Island","All",0,1.86
2020-04-06,"BC","Vancouver Island","Central Vancouver Island",0,0.71
2020-04-06,"BC","Vancouver Island","North Vancouver Island",0,0.29
2020-04-06,"BC","Vancouver Island","South Vancouver Island",0,0.86
2020-04-06,"BC","Vancouver Island","Unknown",0,0
2020-04-06,"Out of Canada","Out of Canada","Out of Canada",0,0.14
2020-04-07,"BC","All","All",40,36.86
2020-04-07,"BC","Fraser","All",27,16.14
2020-04-07,"BC","Fraser","Fraser East",11,3.14
2020-04-07,"BC","Fraser","Fraser North",9,7.86
2020-04-07,"BC","Fraser","Fraser South",7,5.14
2020-04-07,"BC","Fraser","Unknown",0,0
2020-04-07,"BC","Interior","All",1,2.71
2020-04-07,"BC","Interior","East Kootenay",0,0
2020-04-07,"BC","Interior","Kootenay Boundary",0,0.14
2020-04-07,"BC","Interior","Okanagan",0,1.71
2020-04-07,"BC","Interior","Thompson Cariboo Shuswap",1,0.86
2020-04-07,"BC","Northern","All",0,1
2020-04-07,"BC","Northern","Northeast",0,0.14
2020-04-07,"BC","Northern","Northern Interior",0,0.29
2020-04-07,"BC","Northern","Northwest",0,0.57
2020-04-07,"BC","Vancouver Coastal","All",10,15.57
2020-04-07,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",2,4.14
2020-04-07,"BC","Vancouver Coastal","Richmond",3,2.43
2020-04-07,"BC","Vancouver Coastal","Unknown",0,0
2020-04-07,"BC","Vancouver Coastal","Vancouver",5,9
2020-04-07,"BC","Vancouver Island","All",2,1.43
2020-04-07,"BC","Vancouver Island","Central Vancouver Island",1,0.71
2020-04-07,"BC","Vancouver Island","North Vancouver Island",1,0.43
2020-04-07,"BC","Vancouver Island","South Vancouver Island",0,0.29
2020-04-07,"BC","Vancouver Island","Unknown",0,0
2020-04-07,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-04-08,"BC","All","All",33,34.86
2020-04-08,"BC","Fraser","All",20,16.57
2020-04-08,"BC","Fraser","Fraser East",5,3.57
2020-04-08,"BC","Fraser","Fraser North",7,7.71
2020-04-08,"BC","Fraser","Fraser South",8,5.29
2020-04-08,"BC","Fraser","Unknown",0,0
2020-04-08,"BC","Interior","All",0,1.86
2020-04-08,"BC","Interior","East Kootenay",0,0
2020-04-08,"BC","Interior","Kootenay Boundary",0,0.14
2020-04-08,"BC","Interior","Okanagan",0,1.14
2020-04-08,"BC","Interior","Thompson Cariboo Shuswap",0,0.57
2020-04-08,"BC","Northern","All",1,1
2020-04-08,"BC","Northern","Northeast",1,0.29
2020-04-08,"BC","Northern","Northern Interior",0,0.29
2020-04-08,"BC","Northern","Northwest",0,0.43
2020-04-08,"BC","Vancouver Coastal","All",11,13.86
2020-04-08,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",2,3.43
2020-04-08,"BC","Vancouver Coastal","Richmond",1,2.14
2020-04-08,"BC","Vancouver Coastal","Unknown",0,0
2020-04-08,"BC","Vancouver Coastal","Vancouver",8,8.29
2020-04-08,"BC","Vancouver Island","All",1,1.57
2020-04-08,"BC","Vancouver Island","Central Vancouver Island",0,0.71
2020-04-08,"BC","Vancouver Island","North Vancouver Island",0,0.43
2020-04-08,"BC","Vancouver Island","South Vancouver Island",1,0.43
2020-04-08,"BC","Vancouver Island","Unknown",0,0
2020-04-08,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-04-09,"BC","All","All",34,31.86
2020-04-09,"BC","Fraser","All",23,15.86
2020-04-09,"BC","Fraser","Fraser East",17,5.71
2020-04-09,"BC","Fraser","Fraser North",5,5.86
2020-04-09,"BC","Fraser","Fraser South",1,4.29
2020-04-09,"BC","Fraser","Unknown",0,0
2020-04-09,"BC","Interior","All",2,1.86
2020-04-09,"BC","Interior","East Kootenay",0,0
2020-04-09,"BC","Interior","Kootenay Boundary",0,0
2020-04-09,"BC","Interior","Okanagan",0,1
2020-04-09,"BC","Interior","Thompson Cariboo Shuswap",2,0.86
2020-04-09,"BC","Northern","All",2,0.71
2020-04-09,"BC","Northern","Northeast",0,0.29
2020-04-09,"BC","Northern","Northern Interior",0,0
2020-04-09,"BC","Northern","Northwest",2,0.43
2020-04-09,"BC","Vancouver Coastal","All",5,11.86
2020-04-09,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",0,2.86
2020-04-09,"BC","Vancouver Coastal","Richmond",0,1.71
2020-04-09,"BC","Vancouver Coastal","Unknown",0,0
2020-04-09,"BC","Vancouver Coastal","Vancouver",5,7.29
2020-04-09,"BC","Vancouver Island","All",2,1.57
2020-04-09,"BC","Vancouver Island","Central Vancouver Island",1,0.71
2020-04-09,"BC","Vancouver Island","North Vancouver Island",0,0.43
2020-04-09,"BC","Vancouver Island","South Vancouver Island",1,0.43
2020-04-09,"BC","Vancouver Island","Unknown",0,0
2020-04-09,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-04-10,"BC","All","All",41,33.29
2020-04-10,"BC","Fraser","All",23,17.71
2020-04-10,"BC","Fraser","Fraser East",6,6.43
2020-04-10,"BC","Fraser","Fraser North",8,6.43
2020-04-10,"BC","Fraser","Fraser South",9,4.86
2020-04-10,"BC","Fraser","Unknown",0,0
2020-04-10,"BC","Interior","All",5,1.86
2020-04-10,"BC","Interior","East Kootenay",0,0
2020-04-10,"BC","Interior","Kootenay Boundary",0,0
2020-04-10,"BC","Interior","Okanagan",1,0.86
2020-04-10,"BC","Interior","Thompson Cariboo Shuswap",4,1
2020-04-10,"BC","Northern","All",0,0.71
2020-04-10,"BC","Northern","Northeast",0,0.29
2020-04-10,"BC","Northern","Northern Interior",0,0
2020-04-10,"BC","Northern","Northwest",0,0.43
2020-04-10,"BC","Vancouver Coastal","All",13,11.86
2020-04-10,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",2,2.29
2020-04-10,"BC","Vancouver Coastal","Richmond",2,2
2020-04-10,"BC","Vancouver Coastal","Unknown",0,0
2020-04-10,"BC","Vancouver Coastal","Vancouver",9,7.57
2020-04-10,"BC","Vancouver Island","All",0,1.14
2020-04-10,"BC","Vancouver Island","Central Vancouver Island",0,0.57
2020-04-10,"BC","Vancouver Island","North Vancouver Island",0,0.29
2020-04-10,"BC","Vancouver Island","South Vancouver Island",0,0.29
2020-04-10,"BC","Vancouver Island","Unknown",0,0
2020-04-10,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-04-11,"BC","All","All",28,34.29
2020-04-11,"BC","Fraser","All",20,20.14
2020-04-11,"BC","Fraser","Fraser East",6,7.14
2020-04-11,"BC","Fraser","Fraser North",6,7.14
2020-04-11,"BC","Fraser","Fraser South",8,5.86
2020-04-11,"BC","Fraser","Unknown",0,0
2020-04-11,"BC","Interior","All",2,2.14
2020-04-11,"BC","Interior","East Kootenay",0,0
2020-04-11,"BC","Interior","Kootenay Boundary",0,0
2020-04-11,"BC","Interior","Okanagan",2,1.14
2020-04-11,"BC","Interior","Thompson Cariboo Shuswap",0,1
2020-04-11,"BC","Northern","All",0,0.57
2020-04-11,"BC","Northern","Northeast",0,0.14
2020-04-11,"BC","Northern","Northern Interior",0,0
2020-04-11,"BC","Northern","Northwest",0,0.43
2020-04-11,"BC","Vancouver Coastal","All",4,10.43
2020-04-11,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",1,2.14
2020-04-11,"BC","Vancouver Coastal","Richmond",1,1.71
2020-04-11,"BC","Vancouver Coastal","Unknown",0,0
2020-04-11,"BC","Vancouver Coastal","Vancouver",2,6.57
2020-04-11,"BC","Vancouver Island","All",2,1
2020-04-11,"BC","Vancouver Island","Central Vancouver Island",0,0.29
2020-04-11,"BC","Vancouver Island","North Vancouver Island",1,0.29
2020-04-11,"BC","Vancouver Island","South Vancouver Island",1,0.43
2020-04-11,"BC","Vancouver Island","Unknown",0,0
2020-04-11,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-04-12,"BC","All","All",15,34.57
2020-04-12,"BC","Fraser","All",11,21.43
2020-04-12,"BC","Fraser","Fraser East",2,7.43
2020-04-12,"BC","Fraser","Fraser North",2,7.14
2020-04-12,"BC","Fraser","Fraser South",7,6.86
2020-04-12,"BC","Fraser","Unknown",0,0
2020-04-12,"BC","Interior","All",0,1.86
2020-04-12,"BC","Interior","East Kootenay",0,0
2020-04-12,"BC","Interior","Kootenay Boundary",0,0
2020-04-12,"BC","Interior","Okanagan",0,0.86
2020-04-12,"BC","Interior","Thompson Cariboo Shuswap",0,1
2020-04-12,"BC","Northern","All",0,0.43
2020-04-12,"BC","Northern","Northeast",0,0.14
2020-04-12,"BC","Northern","Northern Interior",0,0
2020-04-12,"BC","Northern","Northwest",0,0.29
2020-04-12,"BC","Vancouver Coastal","All",3,9.71
2020-04-12,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",1,1.71
2020-04-12,"BC","Vancouver Coastal","Richmond",1,1.57
2020-04-12,"BC","Vancouver Coastal","Unknown",0,0
2020-04-12,"BC","Vancouver Coastal","Vancouver",1,6.43
2020-04-12,"BC","Vancouver Island","All",1,1.14
2020-04-12,"BC","Vancouver Island","Central Vancouver Island",0,0.29
2020-04-12,"BC","Vancouver Island","North Vancouver Island",0,0.29
2020-04-12,"BC","Vancouver Island","South Vancouver Island",1,0.57
2020-04-12,"BC","Vancouver Island","Unknown",0,0
2020-04-12,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-04-13,"BC","All","All",30,31.57
2020-04-13,"BC","Fraser","All",17,20.14
2020-04-13,"BC","Fraser","Fraser East",4,7.29
2020-04-13,"BC","Fraser","Fraser North",5,6
2020-04-13,"BC","Fraser","Fraser South",8,6.86
2020-04-13,"BC","Fraser","Unknown",0,0
2020-04-13,"BC","Interior","All",2,1.71
2020-04-13,"BC","Interior","East Kootenay",0,0
2020-04-13,"BC","Interior","Kootenay Boundary",1,0.14
2020-04-13,"BC","Interior","Okanagan",1,0.57
2020-04-13,"BC","Interior","Thompson Cariboo Shuswap",0,1
2020-04-13,"BC","Northern","All",0,0.43
2020-04-13,"BC","Northern","Northeast",0,0.14
2020-04-13,"BC","Northern","Northern Interior",0,0
2020-04-13,"BC","Northern","Northwest",0,0.29
2020-04-13,"BC","Vancouver Coastal","All",9,7.86
2020-04-13,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",0,1.14
2020-04-13,"BC","Vancouver Coastal","Richmond",2,1.43
2020-04-13,"BC","Vancouver Coastal","Unknown",0,0
2020-04-13,"BC","Vancouver Coastal","Vancouver",7,5.29
2020-04-13,"BC","Vancouver Island","All",2,1.43
2020-04-13,"BC","Vancouver Island","Central Vancouver Island",0,0.29
2020-04-13,"BC","Vancouver Island","North Vancouver Island",2,0.57
2020-04-13,"BC","Vancouver Island","South Vancouver Island",0,0.57
2020-04-13,"BC","Vancouver Island","Unknown",0,0
2020-04-13,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-04-14,"BC","All","All",44,32.14
2020-04-14,"BC","Fraser","All",19,19
2020-04-14,"BC","Fraser","Fraser East",14,7.71
2020-04-14,"BC","Fraser","Fraser North",3,5.14
2020-04-14,"BC","Fraser","Fraser South",2,6.14
2020-04-14,"BC","Fraser","Unknown",0,0
2020-04-14,"BC","Interior","All",6,2.43
2020-04-14,"BC","Interior","East Kootenay",1,0.14
2020-04-14,"BC","Interior","Kootenay Boundary",0,0.14
2020-04-14,"BC","Interior","Okanagan",5,1.29
2020-04-14,"BC","Interior","Thompson Cariboo Shuswap",0,0.86
2020-04-14,"BC","Northern","All",4,1
2020-04-14,"BC","Northern","Northeast",2,0.43
2020-04-14,"BC","Northern","Northern Interior",2,0.29
2020-04-14,"BC","Northern","Northwest",0,0.29
2020-04-14,"BC","Vancouver Coastal","All",12,8.14
2020-04-14,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",5,1.57
2020-04-14,"BC","Vancouver Coastal","Richmond",1,1.14
2020-04-14,"BC","Vancouver Coastal","Unknown",0,0
2020-04-14,"BC","Vancouver Coastal","Vancouver",6,5.43
2020-04-14,"BC","Vancouver Island","All",3,1.57
2020-04-14,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-04-14,"BC","Vancouver Island","North Vancouver Island",2,0.71
2020-04-14,"BC","Vancouver Island","South Vancouver Island",1,0.71
2020-04-14,"BC","Vancouver Island","Unknown",0,0
2020-04-14,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-04-15,"BC","All","All",14,29.43
2020-04-15,"BC","Fraser","All",8,17.29
2020-04-15,"BC","Fraser","Fraser East",7,8
2020-04-15,"BC","Fraser","Fraser North",0,4.14
2020-04-15,"BC","Fraser","Fraser South",1,5.14
2020-04-15,"BC","Fraser","Unknown",0,0
2020-04-15,"BC","Interior","All",2,2.71
2020-04-15,"BC","Interior","East Kootenay",2,0.43
2020-04-15,"BC","Interior","Kootenay Boundary",0,0.14
2020-04-15,"BC","Interior","Okanagan",0,1.29
2020-04-15,"BC","Interior","Thompson Cariboo Shuswap",0,0.86
2020-04-15,"BC","Northern","All",1,1
2020-04-15,"BC","Northern","Northeast",0,0.29
2020-04-15,"BC","Northern","Northern Interior",1,0.43
2020-04-15,"BC","Northern","Northwest",0,0.29
2020-04-15,"BC","Vancouver Coastal","All",1,6.71
2020-04-15,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",0,1.29
2020-04-15,"BC","Vancouver Coastal","Richmond",0,1
2020-04-15,"BC","Vancouver Coastal","Unknown",0,0
2020-04-15,"BC","Vancouver Coastal","Vancouver",1,4.43
2020-04-15,"BC","Vancouver Island","All",2,1.71
2020-04-15,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-04-15,"BC","Vancouver Island","North Vancouver Island",2,1
2020-04-15,"BC","Vancouver Island","South Vancouver Island",0,0.57
2020-04-15,"BC","Vancouver Island","Unknown",0,0
2020-04-15,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-04-16,"BC","All","All",51,31.86
2020-04-16,"BC","Fraser","All",39,19.57
2020-04-16,"BC","Fraser","Fraser East",23,8.86
2020-04-16,"BC","Fraser","Fraser North",12,5.14
2020-04-16,"BC","Fraser","Fraser South",4,5.57
2020-04-16,"BC","Fraser","Unknown",0,0
2020-04-16,"BC","Interior","All",0,2.43
2020-04-16,"BC","Interior","East Kootenay",0,0.43
2020-04-16,"BC","Interior","Kootenay Boundary",0,0.14
2020-04-16,"BC","Interior","Okanagan",0,1.29
2020-04-16,"BC","Interior","Thompson Cariboo Shuswap",0,0.57
2020-04-16,"BC","Northern","All",2,1
2020-04-16,"BC","Northern","Northeast",1,0.43
2020-04-16,"BC","Northern","Northern Interior",1,0.57
2020-04-16,"BC","Northern","Northwest",0,0
2020-04-16,"BC","Vancouver Coastal","All",10,7.43
2020-04-16,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",5,2
2020-04-16,"BC","Vancouver Coastal","Richmond",1,1.14
2020-04-16,"BC","Vancouver Coastal","Unknown",0,0
2020-04-16,"BC","Vancouver Coastal","Vancouver",4,4.29
2020-04-16,"BC","Vancouver Island","All",0,1.43
2020-04-16,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-04-16,"BC","Vancouver Island","North Vancouver Island",0,1
2020-04-16,"BC","Vancouver Island","South Vancouver Island",0,0.43
2020-04-16,"BC","Vancouver Island","Unknown",0,0
2020-04-16,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-04-17,"BC","All","All",25,29.57
2020-04-17,"BC","Fraser","All",13,18.14
2020-04-17,"BC","Fraser","Fraser East",4,8.57
2020-04-17,"BC","Fraser","Fraser North",5,4.71
2020-04-17,"BC","Fraser","Fraser South",4,4.86
2020-04-17,"BC","Fraser","Unknown",0,0
2020-04-17,"BC","Interior","All",2,2
2020-04-17,"BC","Interior","East Kootenay",1,0.57
2020-04-17,"BC","Interior","Kootenay Boundary",0,0.14
2020-04-17,"BC","Interior","Okanagan",1,1.29
2020-04-17,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-04-17,"BC","Northern","All",1,1.14
2020-04-17,"BC","Northern","Northeast",1,0.57
2020-04-17,"BC","Northern","Northern Interior",0,0.57
2020-04-17,"BC","Northern","Northwest",0,0
2020-04-17,"BC","Vancouver Coastal","All",6,6.43
2020-04-17,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",1,1.86
2020-04-17,"BC","Vancouver Coastal","Richmond",0,0.86
2020-04-17,"BC","Vancouver Coastal","Unknown",0,0
2020-04-17,"BC","Vancouver Coastal","Vancouver",5,3.71
2020-04-17,"BC","Vancouver Island","All",3,1.86
2020-04-17,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-04-17,"BC","Vancouver Island","North Vancouver Island",3,1.43
2020-04-17,"BC","Vancouver Island","South Vancouver Island",0,0.43
2020-04-17,"BC","Vancouver Island","Unknown",0,0
2020-04-17,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-04-18,"BC","All","All",30,29.86
2020-04-18,"BC","Fraser","All",13,17.14
2020-04-18,"BC","Fraser","Fraser East",1,7.86
2020-04-18,"BC","Fraser","Fraser North",10,5.29
2020-04-18,"BC","Fraser","Fraser South",2,4
2020-04-18,"BC","Fraser","Unknown",0,0
2020-04-18,"BC","Interior","All",0,1.71
2020-04-18,"BC","Interior","East Kootenay",0,0.57
2020-04-18,"BC","Interior","Kootenay Boundary",0,0.14
2020-04-18,"BC","Interior","Okanagan",0,1
2020-04-18,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-04-18,"BC","Northern","All",5,1.86
2020-04-18,"BC","Northern","Northeast",2,0.86
2020-04-18,"BC","Northern","Northern Interior",3,1
2020-04-18,"BC","Northern","Northwest",0,0
2020-04-18,"BC","Vancouver Coastal","All",8,7
2020-04-18,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",0,1.71
2020-04-18,"BC","Vancouver Coastal","Richmond",0,0.71
2020-04-18,"BC","Vancouver Coastal","Unknown",0,0
2020-04-18,"BC","Vancouver Coastal","Vancouver",8,4.57
2020-04-18,"BC","Vancouver Island","All",4,2.14
2020-04-18,"BC","Vancouver Island","Central Vancouver Island",1,0.14
2020-04-18,"BC","Vancouver Island","North Vancouver Island",3,1.71
2020-04-18,"BC","Vancouver Island","South Vancouver Island",0,0.29
2020-04-18,"BC","Vancouver Island","Unknown",0,0
2020-04-18,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-04-19,"BC","All","All",15,29.86
2020-04-19,"BC","Fraser","All",7,16.57
2020-04-19,"BC","Fraser","Fraser East",2,7.86
2020-04-19,"BC","Fraser","Fraser North",4,5.57
2020-04-19,"BC","Fraser","Fraser South",1,3.14
2020-04-19,"BC","Fraser","Unknown",0,0
2020-04-19,"BC","Interior","All",3,2.14
2020-04-19,"BC","Interior","East Kootenay",0,0.57
2020-04-19,"BC","Interior","Kootenay Boundary",0,0.14
2020-04-19,"BC","Interior","Okanagan",2,1.29
2020-04-19,"BC","Interior","Thompson Cariboo Shuswap",1,0.14
2020-04-19,"BC","Northern","All",0,1.86
2020-04-19,"BC","Northern","Northeast",0,0.86
2020-04-19,"BC","Northern","Northern Interior",0,1
2020-04-19,"BC","Northern","Northwest",0,0
2020-04-19,"BC","Vancouver Coastal","All",4,7.14
2020-04-19,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",1,1.71
