place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
"toronto, ontario",on,43.659,-79.3884,leaving the hospital after being diagnosed with covid-19,brought back to the hospital by police,no,NA,3,1,individual,april,toronto police service,unspecified. possibly the mental health act?,"white-appearing woman, age 43, struggling with bipolar disorder, substance use, and homelessness",a woman was returned the hospital by police multiple times after being diagnosed with covid-19,https://www.cbc.ca/news/canada/toronto/covid-mental-health-death-warriner-1.5667765,
"halifax, nova scotia",ns,44.6488,-63.5752,failing to have a place or plan to self-isolate upon arrival in canada,held in a federally designated quarantine site,no,NA,8,8,individual,july,public health agency of canada,federal quarantine act,people arriving from out of canada,federal quarantine site in halifax holding 8 people,https://www.cbc.ca/news/canada/nova-scotia/covid-19-federal-government-canada-designated-sites-1.5644701,
canada,canada,56.1304,-106.3468,violating the federal quarantine act,ticket $1000,yes,1000,3,3,individual,july,reported to phac,federal quarantine act,not specified,3 tickets under the federal quarantine act reported to phac,https://www.cbc.ca/news/canada/nova-scotia/covid-19-federal-government-canada-designated-sites-1.5644701,
"vancouver, british columbia",bc,49.2827,-123.1207,failing to have a place or plan to self-isolate upon arrival in canada,held in a federally designated quarantine site,no,NA,45,45,individual,july,public health agency of canada,federal quarantine act,not specified,45 people were held in vancouver for arriving in canada without a place or plan to self-isolate,https://www.cbc.ca/news/canada/nova-scotia/covid-19-federal-government-canada-designated-sites-1.5644701,
"calgary, alberta",ab,51.0447,-114.0719,arriving in canada without a place or plan to self-isolate,held in a federally designated quarantine site,no,NA,11,11,individual,july,public health agency of canada,federal quarantine act,not specified,11 people were held for arriving in canada without a place or plan to self-isolate,https://www.cbc.ca/news/canada/nova-scotia/covid-19-federal-government-canada-designated-sites-1.5644701,
"winnipeg, manitoba",mb,49.8951,-97.1384,failing to have a place or a plan to self-isolate upon arrival in canada,held in a federally designated quarantine site,no,NA,20,20,individual,july,public health agency of canada,federal quarantine act,not specified,20 people were held in a federally designated quarantine site upon arrival in canada for failing to have a place or a plan to self-isolate,https://www.cbc.ca/news/canada/nova-scotia/covid-19-federal-government-canada-designated-sites-1.5644701,
"toronto, ontario",on,43.6532,-79.3832,failing to have a place or a plan to self-isolate upon arrival in canada,held in a federally designated quarantine site,no,NA,140,140,individual,july,public health agency of canada,federal quarantine act,not specified,140 people were held in a federally designated quarantine site upon arriving in canada for failing to have a place or a plan to self-isolate,https://www.cbc.ca/news/canada/nova-scotia/covid-19-federal-government-canada-designated-sites-1.5644701,
"montreal, quebec",qc,45.5017,-73.5673,failing to have a place or a plan to self-isolate upon arriving in canada,held in a federally designated quarantine site,no,NA,60,60,individual,july,public health agency of canada,federal quarantine act,not specified,60 people were held upon arrival in canada for failing to have a place or a plan to self-isolate,https://www.cbc.ca/news/canada/nova-scotia/covid-19-federal-government-canada-designated-sites-1.5644701,
"fredericton, new brunswick",nb,45.9636,-66.6431,failing to have a place or a plan to self-isolate upon arrival in canada,held in a federally designated quarantine site,no,NA,1,1,individual,july,public health agency of canada,federal quarantine act,not specified,1 person was held in a federally designated quarantine site for failing to have a place or a plan to self-isolate upon arrival in canada,https://www.cbc.ca/news/canada/nova-scotia/covid-19-federal-government-canada-designated-sites-1.5644701,
"niagara falls, ontario",on,43.09953,-79.07404,scrapping arrows off the floor of a shoppers drugmart,charged with mischief (criminal) and failing to wear a mask (bylaw),no,NA,2,1,individual,august,niagara falls police department,criminal code of canada & municipal bylaws,"man, appears 30s and brown/racialized. last name ligetfalvy.",a man who is against covid-19-related public health regulations was arrested after scrapping directional arrows off the floor of a shoppers drugmart and refusing to wear a mask,https://www.niagarafallsreview.ca/news/crime/2020/08/04/scraping-arrows-off-shoppers-drug-mart-floor-leads-to-criminal-charge-against-niagara-falls-man.html,
"miramichi, new brunswick",nb,47.0296,-65.5059,being in a residence that was not their own,ticket issued,yes,NA,3,3,individual,june,miramici police force,emergency measures act,not specified,3 people were ticketed after a complaint they were in a residence that did not belong to them,https://www.cbc.ca/news/canada/new-brunswick/police-nb-covid-tickets-1.5675457,
"miramichi, new brunswick",nb,47.0296,-65.5059,not physically distancing in a private parking lot,tickets issued,yes,NA,2,2,individual,june,miramichi police force,emergency measures act,not specified,2 people were fined for not physically distancing in a private parking lot,https://www.cbc.ca/news/canada/new-brunswick/police-nb-covid-tickets-1.5675457,
"miramichi, new brunswick",nb,47.0296,-65.5059,not physically distancing,tickets issued,yes,NA,2,2,individual,june,miramichi police force,emergency measures act,not specified,"two people, in separate incidents, were issued tickets for failing to physically distance",https://www.cbc.ca/news/canada/new-brunswick/police-nb-covid-tickets-1.5675457,
"fredericton, new brunswick",nb,45.9636,-66.6431,visiting another home during a pandemic,"ticket $292.50, and court summons",yes,292.5,1,1,individual,june,fredericton police force,emergency measures act,a young person,police fined a young person for allegedly visiting another home during a pandemic,https://www.cbc.ca/news/canada/new-brunswick/police-nb-covid-tickets-1.5675457,
"fredericton, new brunswick",nb,45.9636,-66.6431,touching people without permission at a food establishment,"fine $292.50, and court summons",yes,292.5,1,1,individual,june,fredericton police force,emergency measures act,not specified,a person was fined for touching people without permission at a food establishment,https://www.cbc.ca/news/canada/new-brunswick/police-nb-covid-tickets-1.5675457,
"fredericton, new brunswick",nb,45.9636,-66.6431,unspecified,"fine $292.50, and court summons",yes,292.5,2,2,individual,june,fredericton police force,emergency measures act,not specified,2 people were fined under the emergency measures act,https://www.cbc.ca/news/canada/new-brunswick/police-nb-covid-tickets-1.5675457,
new brunswick,nb,46.5653,-66.4619,unspecified,fines,yes,NA,6,6,individual,june,regional/local police forces,emergency measures act,not specified,6 people were fined by local/regional police forces,https://www.cbc.ca/news/canada/new-brunswick/police-nb-covid-tickets-1.5675457,
"north slave region, northwest territories",nwt,65.34,-110.531667,failing to self-isolate,tickets $1750,yes,1750,2,2,individual,july,government of the northwest territories (gnwt) compliance and enforcement taskforce,public health act,not specified,2 people were fined for failing to self-isolate,https://www.cbc.ca/news/canada/north/4-more-nwt-residents-fined-breaking-self-isolation-protocols-1.5676033,
"beaufort delta, northwest territories",nwt,68.3582,-133.7258,failing to self-isolate,fine $1725,yes,1725,2,2,individual,july,government of the northwest territories (gnwt) compliance and enforcement taskforce,public health act,not specified,2 people were fined for failing to self-isolate,https://www.cbc.ca/news/canada/north/4-more-nwt-residents-fined-breaking-self-isolation-protocols-1.5676033,
"whalley, surrey, british columbia",bc,49.1915,-122.8456,breaking and entering to host underground parties,"criminal charges laid for break and enter, uttering threats",no,NA,2,1,individual,august,surrey rcmp and the covid-19 compliance and enforcement team,criminal code of canada,"underground party organizer, 40-year-old man",a man is charged after breaking into a business and operating a hookah lounge that was the centre of a covid-19 exposure,https://globalnews.ca/news/7258936/surrey-after-hour-clubs-covid-19/,
"barrie, ontario",on,44.3894,-79.6903,failing to self-isolate after returning to canada,"charge laid, fine $1125",yes,1125,1,1,individual,august,barrie police,federal quarantine act,45-year-old barrie man who had visited the caribbean,a man is charged under the quarantine act for leaving the house and hosting a party during a 14-day self-isolation period upon returning to canada,https://www.newhamburgindependent.ca/news-story/10133110-today-s-coronavirus-news-118-969-cases-in-canada-103-433-resolved-canadian-man-with-covid-dies-in-u-s-immigration-custody-ontario-reports-107-new-cases/,
"banff, alberta",ab,51.1784,-115.5708,american visiting a lover in canada under the pretence of travelling to/from alaska,"$870 ticket, escorted out of town by police, facing possible fines up to $560,000 and jail time",yes,870,2,1,individual,august,royal canadian mounted police,federal quarantine act,alaskan man,"a man is charged under the quarantine act after entering canada for non-essential reasons, to visit his sweetheart",https://torontosun.com/news/national/love-sick-alaskan-faces-jail-fine-for-visiting-banff-beau,
"winnipeg, manitoba",mb,49.870911,-97.152184,breaking public health orders,"$10,168 fines ($2542x4)",yes,2542,4,4,business,august,unspecified,public health act,"cafe and hookah lounge, owner's name is muhammad shaikh",winnipeg restaurant fined more than $10k over alleged covid-19 violations,https://winnipeg.ctvnews.ca/winnipeg-restaurant-fined-more-than-10k-over-alleged-covid-19-violations-1.5062123,
"winnipeg, manitoba",mb,49.87068,-97.1546,violating a public health order,fine $2542,yes,2542,1,1,individual,august,unspecified,public health act,"hookah lounge named ""arabian dreams""","arabian dreams was fined $2,542 at the beginning of the month for failing to comply with public health orders",https://winnipeg.ctvnews.ca/winnipeg-business-facing-over-12k-in-fines-for-breaking-public-health-orders-1.5100786,https://www.cbc.ca/news/canada/manitoba/siraj-cafe-arabian-dreams-corydon-restaurants-fined-1.5690102
"ottawa, ontario",on,45.4215,-75.6972,failing to post the required signage at every public entrance indicating mandatory masks,fine $490,yes,490,1,1,business,july,ottawa bylaw and regulatory services,city of ottawa bylaws,"""manara cafe,"" likely middle eastern",a cafe was issued a $490 fine for failing to have appropriate signage indicating mandatory masks at every entrance,https://ottawa.ctvnews.ca/143-warnings-issued-under-ottawa-s-mandatory-face-mask-bylaw-1.5062140,
"inverness, nova scotia",ns,46.23888,-61.29919,failing to self-isolate for 14 days after returning from outside of atlantic provinces,"charged, possible fine of $1000",maybe,NA,1,1,individual,august,inverness district rcmp,health protection act,woman from bc visiting a brewery,"a woman from british columbia has been charged for failing to self-isolate after she visited a brewery in cape breton, prompting the business to close",https://atlantic.ctvnews.ca/b-c-woman-charged-for-failing-to-self-isolate-after-visiting-cape-breton-brewery-1.5060854,
"ottawa, ontario",on,45.4289,-75.6912,failing to ensure patrons are practicing physical distancing,"charged, $880 fines",yes,880,2,2,business,august,ottawa bylaw officers,emergency management and civil protection act,atari on dalhousie street and somewhere dine bar on murray street,2 restaurants are charged for failing to ensure proper physical distancing between patrons,https://ottawa.ctvnews.ca/byward-market-restaurant-charged-for-not-seating-patrons-properly-mayor-1.5064996,
